main_trait,short_trait,quantity,front_txt,back_txt
burrowing,fat_tissue,2,asset/card/evolution/back/bird1.txt,asset/card/evolution/back/moose1.txt
burrowing,carnivorous,2,asset/card/evolution/back/bird1.txt,asset/card/evolution/back/moose1.txt
camouflage,carnivorous,2,asset/card/evolution/back/bird1.txt,asset/card/evolution/back/moose1.txt
camouflage,fat_tissue,2,asset/card/evolution/back/bird1.txt,asset/card/evolution/back/moose1.txt
communication,carnivorous,2,asset/card/evolution/back/bird1.txt,asset/card/evolution/back/moose1.txt
communication,nocturnal,2,asset/card/evolution/back/bird1.txt,asset/card/evolution/back/moose1.txt
cooperation,carnivorous,2,asset/card/evolution/back/bird1.txt,asset/card/evolution/back/moose1.txt
cooperation,swimming,2,asset/card/evolution/back/bird1.txt,asset/card/evolution/back/moose1.txt
cosmopolitan,fat_tissue,2,asset/card/evolution/back/bird1.txt,asset/card/evolution/back/moose1.txt
cosmopolitan,swimming,2,asset/card/evolution/back/bird1.txt,asset/card/evolution/back/moose1.txt
detrimental_mutation,nocturnal,2,asset/card/evolution/back/bird1.txt,asset/card/evolution/back/moose1.txt
detrimental_mutation,swimming,2,asset/card/evolution/back/bird1.txt,asset/card/evolution/back/moose1.txt
detrimental_mutation,high_body_weight,2,asset/card/evolution/back/bird1.txt,asset/card/evolution/back/moose1.txt
hibernation,nocturnal,2,asset/card/evolution/back/bird1.txt,asset/card/evolution/back/moose1.txt
hibernation,nocturnal,2,asset/card/evolution/back/bird1.txt,asset/card/evolution/back/moose1.txt
hoofed,high_body_weight,2,asset/card/evolution/back/bird1.txt,asset/card/evolution/back/moose1.txt
hoofed,carnivorous,2,asset/card/evolution/back/bird1.txt,asset/card/evolution/back/moose1.txt
horned,carnivorous,2,asset/card/evolution/back/bird1.txt,asset/card/evolution/back/moose1.txt
horned,parasite,2,asset/card/evolution/back/bird1.txt,asset/card/evolution/back/moose1.txt
metamorphosis,swimming,2,asset/card/evolution/back/bird1.txt,asset/card/evolution/back/moose1.txt
metamorphosis,carnivorous,2,asset/card/evolution/back/bird1.txt,asset/card/evolution/back/moose1.txt
pack_hunting,fat_tissue,2,asset/card/evolution/back/bird1.txt,asset/card/evolution/back/moose1.txt
pack_hunting,nocturnal,2,asset/card/evolution/back/bird1.txt,asset/card/evolution/back/moose1.txt
partnership,fat_tissue,2,asset/card/evolution/back/bird1.txt,asset/card/evolution/back/moose1.txt
partnership,carnivorous,2,asset/card/evolution/back/bird1.txt,asset/card/evolution/back/moose1.txt
piracy,carnivorous,2,asset/card/evolution/back/bird1.txt,asset/card/evolution/back/moose1.txt
piracy,swimming,2,asset/card/evolution/back/bird1.txt,asset/card/evolution/back/moose1.txt
poisonous,parasite,2,asset/card/evolution/back/bird1.txt,asset/card/evolution/back/moose1.txt
poisonous,carnivorous,2,asset/card/evolution/back/bird1.txt,asset/card/evolution/back/moose1.txt
repelling,carnivorous,2,asset/card/evolution/back/bird1.txt,asset/card/evolution/back/moose1.txt
repelling,parasite,2,asset/card/evolution/back/bird1.txt,asset/card/evolution/back/moose1.txt
running,fat_tissue,2,asset/card/evolution/back/bird1.txt,asset/card/evolution/back/moose1.txt
running,carnivorous,2,asset/card/evolution/back/bird1.txt,asset/card/evolution/back/moose1.txt
scavenger,high_body_weight,2,asset/card/evolution/back/bird1.txt,asset/card/evolution/back/moose1.txt
scavenger,carnivorous,2,asset/card/evolution/back/bird1.txt,asset/card/evolution/back/moose1.txt
sharp_vision,nocturnal,2,asset/card/evolution/back/bird1.txt,asset/card/evolution/back/moose1.txt
sharp_vision,high_body_weight,2,asset/card/evolution/back/bird1.txt,asset/card/evolution/back/moose1.txt
stasis,carnivorous,2,asset/card/evolution/back/bird1.txt,asset/card/evolution/back/moose1.txt
stasis,nocturnal,2,asset/card/evolution/back/bird1.txt,asset/card/evolution/back/moose1.txt
tail_loss,parasite,2,asset/card/evolution/back/bird1.txt,asset/card/evolution/back/moose1.txt
tail_loss,carnivorous,2,asset/card/evolution/back/bird1.txt,asset/card/evolution/back/moose1.txt
transparent,carnivorous,2,asset/card/evolution/back/bird1.txt,asset/card/evolution/back/moose1.txt
transparent,fat_tissue,2,asset/card/evolution/back/bird1.txt,asset/card/evolution/back/moose1.txt
voracious,swimming,2,asset/card/evolution/back/bird1.txt,asset/card/evolution/back/moose1.txt
voracious,high_body_weight,2,asset/card/evolution/back/bird1.txt,asset/card/evolution/back/moose1.txt
xylophagous,carnivorous,2,asset/card/evolution/back/bird1.txt,asset/card/evolution/back/moose1.txt
xylophagous,fat_tissue,2,asset/card/evolution/back/bird1.txt,asset/card/evolution/back/moose1.txt
